,OR (95% CI),p-value
IRSEX_2,"1.79 (1.67, 1.93)",2.6700756578341523e-58
IRINSUR4_1.0,"1.74 (1.53, 1.99)",3.8006950408085686e-16
ILLYR_1.0,"1.66 (1.53, 1.79)",6.550999323669788e-38
IRWRKSTAT18_4.0,"1.53 (1.40, 1.67)",5.668079955934476e-20
IRMARIT_3.0,"1.51 (1.36, 1.68)",6.499265620495986e-15
IRWRKSTAT18_2.0,"1.33 (1.20, 1.47)",2.2730424406983713e-08
CATAG6_3,"1.31 (1.17, 1.47)",3.1832640229418403e-06
IRWRKSTAT18_3.0,"1.24 (1.05, 1.47)",0.010990578848930345
CATAG6_4,"1.22 (1.09, 1.38)",0.0007421202266067365
IRMARIT_4.0,"1.13 (1.03, 1.24)",0.007577510915831735
CATAG6_5,"1.11 (0.98, 1.27)",0.10391615091706928
RSKMRJWK_2.0,"1.01 (0.92, 1.10)",0.9095528284443146
IRMARIT_2.0,"0.96 (0.81, 1.14)",0.6440806972025057
RSKMRJWK_3.0,"0.87 (0.78, 0.96)",0.007753414526640352
NEWRACE2_6,"0.80 (0.65, 0.97)",0.024981142644401513
IREDUHIGHST2_5,"0.79 (0.45, 1.38)",0.4014237847174409
NEWRACE2_3,"0.73 (0.39, 1.37)",0.329591038893875
RSKMRJWK_4.0,"0.73 (0.65, 0.82)",1.8294298862674534e-07
IREDUHIGHST2_11,"0.72 (0.45, 1.15)",0.1756535799654365
CATAG6_6,"0.65 (0.55, 0.76)",4.6736342019928117e-08
NEWRACE2_7,"0.63 (0.57, 0.70)",7.821506874263801e-21
IREDUHIGHST2_9,"0.59 (0.37, 0.95)",0.02905570174945247
IREDUHIGHST2_10,"0.59 (0.37, 0.94)",0.02782419718420501
NEWRACE2_2,"0.54 (0.48, 0.60)",1.8712348842978588e-25
IREDUHIGHST2_6,"0.50 (0.28, 0.88)",0.016031015270546643
IREDUHIGHST2_8,"0.48 (0.30, 0.77)",0.0020704392252219868
IREDUHIGHST2_3,"0.47 (0.17, 1.32)",0.15157147548499816
IREDUHIGHST2_2,"0.45 (0.15, 1.33)",0.149167699657196
IREDUHIGHST2_7,"0.44 (0.27, 0.73)",0.001366758704010832
const,"0.43 (0.26, 0.71)",0.0009316533316981644
IREDUHIGHST2_4,"0.42 (0.22, 0.82)",0.011174697355713081
NEWRACE2_4,"0.41 (0.23, 0.73)",0.002638941213675471
NEWRACE2_5,"0.40 (0.34, 0.47)",6.321977009760938e-28
