,OR,2.5%,97.5%,p-value
IREDUHIGHST2_5,4.666289705127761,2.3697152755327626,9.188555197748817,8.367693634088658e-06
IREDUHIGHST2_3,3.6714309442244875,1.3347818218647705,10.098583122279543,0.011757826365648906
IREDUHIGHST2_7,2.5357923055430214,1.3189071280242006,4.875432454811331,0.0052725962543603375
IREDUHIGHST2_4,2.476481988000594,1.1675247297803157,5.252961997683225,0.018094742250483943
IRPYUD5ALC_1,2.471516166606635,2.2047744202346866,2.7705293139003984,2.231137595838875e-54
ILLYR_1.0,2.4553243040509383,2.189591866389837,2.753306463456639,2.5952083929710207e-53
IREDUHIGHST2_6,2.3824646042045505,1.1850617271724586,4.7897400279989935,0.014829737687846824
CATAG6_4,2.3750252687696074,1.999300168480944,2.821359751887557,7.216984843397964e-23
IRMARIT_2.0,2.1173604023435413,1.6805010879965399,2.667784689599459,1.980962105226111e-10
IRMARIT_3.0,1.8914660876672094,1.6440444958516518,2.17612355980779,5.080677970723328e-19
IREDUHIGHST2_8,1.8720874319120053,0.99358281819655,3.5273469795746677,0.05237411735571878
IRPYUD5MRJ_1,1.7246369984966874,1.5072579469240193,1.9733667901062995,2.2115321651892776e-15
CATAG6_5,1.70832473380611,1.4165562946487653,2.0601887882311987,2.091723424636608e-08
CATAG6_3,1.6941996867090037,1.4230793166356313,2.016973014006505,3.1155593412975543e-09
IREDUHIGHST2_9,1.6804483338845513,0.8888393346327397,3.1770720453344663,0.11019160922371035
IRMARIT_4.0,1.574948708554083,1.36720818557131,1.8142543767317134,3.099225902980645e-10
IRWRKSTAT18_4.0,1.5081658761037153,1.3257873984489081,1.715632772271626,4.14761912272845e-10
IRWRKSTAT18_2.0,1.41518507629147,1.215080134589571,1.6482442129914183,8.024758972662055e-06
IRWRKSTAT18_3.0,1.4150933395976317,1.163793910433914,1.7206561589817575,0.0005003128849035798
IREDUHIGHST2_2,1.3952985065071368,0.5340454786616105,3.6454908805522206,0.49662300182755914
NEWRACE2_4,1.296910354711803,0.7443786811339388,2.2595709828718893,0.35871672581409497
IREDUHIGHST2_10,1.2520080349159668,0.6528287926974968,2.4011258955309116,0.49875254548983594
IREDUHIGHST2_11,1.2074759980071479,0.6369893465107673,2.288889592502333,0.5634062290999364
NEWRACE2_3,1.1687732535647877,0.6958815334588072,1.9630222280201974,0.5555364704107468
RSKCIGPKD_2.0,1.065917273746343,0.8401677000152284,1.3523248209259204,0.599083121445237
RSKCIGPKD_3.0,0.8069631884966403,0.6568707496207286,0.9913511721516834,0.041082716598087744
RSKCIGPKD_4.0,0.7985271740825415,0.6598102325884828,0.9664076370060524,0.020836461650208533
NEWRACE2_7,0.7753215933235819,0.6796434337751166,0.8844690365576606,0.00015255991342022593
NEWRACE2_6,0.7489282823920815,0.5526312250662767,1.0149509233747802,0.062283782418513754
CATAG6_6,0.7298385677677732,0.5688654270310771,0.9363626434134044,0.01324358241722051
INCOME_2,0.6724407680319944,0.5895287065316238,0.7670136865289402,3.406269998013315e-09
INCOME_3,0.6405731951756972,0.5417062345909353,0.7574843931553826,1.91591718940392e-07
NEWRACE2_5,0.6037847841407823,0.4587295312164582,0.7947080812373293,0.000319332889582402
NEWRACE2_2,0.5475752251608211,0.46391433230741275,0.6463232677433985,1.0838445635902856e-12
INCOME_4,0.5258709625441856,0.4513586894728999,0.6126840486223809,1.6620185986513945e-16
const,0.012449936340586273,0.006287223013362414,0.02465331904963811,2.6274581608458414e-36
