,OR (95% CI),p-value
IREDUHIGHST2_5,"4.67 (2.37, 9.19)",8.367693634088658e-06
IREDUHIGHST2_3,"3.67 (1.33, 10.10)",0.011757826365648906
IREDUHIGHST2_7,"2.54 (1.32, 4.88)",0.0052725962543603375
IREDUHIGHST2_4,"2.48 (1.17, 5.25)",0.018094742250483943
IRPYUD5ALC_1,"2.47 (2.20, 2.77)",2.231137595838875e-54
ILLYR_1.0,"2.46 (2.19, 2.75)",2.5952083929710207e-53
IREDUHIGHST2_6,"2.38 (1.19, 4.79)",0.014829737687846824
CATAG6_4,"2.38 (2.00, 2.82)",7.216984843397964e-23
IRMARIT_2.0,"2.12 (1.68, 2.67)",1.980962105226111e-10
IRMARIT_3.0,"1.89 (1.64, 2.18)",5.080677970723328e-19
IREDUHIGHST2_8,"1.87 (0.99, 3.53)",0.05237411735571878
IRPYUD5MRJ_1,"1.72 (1.51, 1.97)",2.2115321651892776e-15
CATAG6_5,"1.71 (1.42, 2.06)",2.091723424636608e-08
CATAG6_3,"1.69 (1.42, 2.02)",3.1155593412975543e-09
IREDUHIGHST2_9,"1.68 (0.89, 3.18)",0.11019160922371035
IRMARIT_4.0,"1.57 (1.37, 1.81)",3.099225902980645e-10
IRWRKSTAT18_4.0,"1.51 (1.33, 1.72)",4.14761912272845e-10
IRWRKSTAT18_2.0,"1.42 (1.22, 1.65)",8.024758972662055e-06
IRWRKSTAT18_3.0,"1.42 (1.16, 1.72)",0.0005003128849035798
IREDUHIGHST2_2,"1.40 (0.53, 3.65)",0.49662300182755914
NEWRACE2_4,"1.30 (0.74, 2.26)",0.35871672581409497
IREDUHIGHST2_10,"1.25 (0.65, 2.40)",0.49875254548983594
IREDUHIGHST2_11,"1.21 (0.64, 2.29)",0.5634062290999364
NEWRACE2_3,"1.17 (0.70, 1.96)",0.5555364704107468
RSKCIGPKD_2.0,"1.07 (0.84, 1.35)",0.599083121445237
RSKCIGPKD_3.0,"0.81 (0.66, 0.99)",0.041082716598087744
RSKCIGPKD_4.0,"0.80 (0.66, 0.97)",0.020836461650208533
NEWRACE2_7,"0.78 (0.68, 0.88)",0.00015255991342022593
NEWRACE2_6,"0.75 (0.55, 1.01)",0.062283782418513754
CATAG6_6,"0.73 (0.57, 0.94)",0.01324358241722051
INCOME_2,"0.67 (0.59, 0.77)",3.406269998013315e-09
INCOME_3,"0.64 (0.54, 0.76)",1.91591718940392e-07
NEWRACE2_5,"0.60 (0.46, 0.79)",0.000319332889582402
NEWRACE2_2,"0.55 (0.46, 0.65)",1.0838445635902856e-12
INCOME_4,"0.53 (0.45, 0.61)",1.6620185986513945e-16
const,"0.01 (0.01, 0.02)",2.6274581608458414e-36
