group,var_name,l2_norm,max_abs,nnz
0,CATAG6,1.0718290250481046,0.8376891169670959,6
2,NEWRACE2,0.9734580637645778,0.5266220261330241,7
4,IREDUHIGHST2,0.6633836245762078,0.4327023916654428,11
1,IRSEX,0.48572434941569137,0.34345898125925944,2
6,IRINSUR4,0.4080216640535841,0.28851488552332016,2
10,ILLYR,0.36928959380095205,0.26112717599827884,2
12,RSKMRJWK,0.36764038245261443,0.3056689617161181,4
5,IRWRKSTAT18,0.29184100955242603,0.20914436142456444,4
15,KSSLR6YR,0.27383871170653484,0.27383871170653484,1
3,IRMARIT,0.24307346624762508,0.17262962157274844,4
9,IRPYUD5MRJ,0.23861324946868612,0.16872504678027023,2
8,IRPYUD5ALC,0.21173535591487957,0.14971950598435907,2
11,RSKCIGPKD,0.2036977222159789,0.16818651456209888,4
13,IRALCFY,0.09037753919864744,0.09037753919864744,1
7,INCOME,0.08681086600535635,0.07241433393788708,4
14,IRMJFY,0.055247563649706385,0.055247563649706385,1
