,OR,2.5%,97.5%,p-value
IRINSUR4_1.0,2.2099671962280167,2.026946263070528,2.4095138077343212,2.8628236878539174e-72
IRSEX_2,1.4022562322683165,1.348650494896879,1.4579926736954072,8.203663787937058e-65
IRMARIT_3.0,1.3432279406894108,1.2662730572490344,1.424859583262756,1.0958971489100698e-22
ILLYR_1.0,1.2907241774427052,1.2282837717742137,1.3563387716412743,6.2807794775677374e-24
IRWRKSTAT18_4.0,1.2579033833248154,1.2002606228507726,1.3183144490917338,9.062541833187998e-22
NEWRACE2_2,1.2307954534362697,1.1586026727143781,1.3074865817894064,1.657351633307382e-11
IREDUHIGHST2_11,1.2204519989347655,1.014142419915371,1.4687316617996926,0.034978960532701296
NEWRACE2_4,1.1836255234742086,0.8739787823947714,1.6029787084542566,0.27594801410525416
NEWRACE2_7,1.1769550063916472,1.1157245778503542,1.241545731419887,2.270870725385638e-09
IRWRKSTAT18_2.0,1.1404004469695985,1.0706697309380322,1.2146725940492011,4.481812854878396e-05
IRPYUD5ALC_1,1.1382758169590739,1.0685671786354505,1.2125319412565219,5.900022102606938e-05
IRMARIT_2.0,1.1347947050226317,1.0416109256154702,1.2363148185936002,0.003821605747745956
POVERTY3_3.0,1.1242753259218903,1.0119616406404486,1.24905427015674,0.029154140688302726
NEWRACE2_3,1.0863263606575984,0.8199099936751001,1.439310376703634,0.5640781656179739
IRPYUD5MRJ_1,1.0768013221645614,0.9908822847718832,1.1701703675954638,0.08114649966528759
INCOME_4,1.073558918225707,0.9575121631484758,1.2036700892782648,0.22394799970984958
POVERTY3_2.0,1.0607076218459455,0.9694791190895179,1.1605207754229039,0.19898839222451792
NEWRACE2_6,1.0374650611362124,0.9095906403109671,1.1833166540834152,0.5836729505830882
KSSLR6YR,1.0124827179087479,1.0063620628755519,1.0186405985284575,6.074254199449015e-05
IREDUHIGHST2_10,1.0032005281795269,0.8284830245600493,1.2147639358985272,0.9738904204381768
NEWRACE2_5,0.9927641513787638,0.9147257318357265,1.0774602987114779,0.8619770006533658
IREDUHIGHST2_9,0.983122339945499,0.8161454918974987,1.1842613172472214,0.8577575244862927
IREDUHIGHST2_5,0.94249411294427,0.7539881867674961,1.1781287406410332,0.6029370580320003
IRWRKSTAT18_3.0,0.916072797417451,0.823234857199604,1.0193802689829032,0.10786054086690212
INCOME_2,0.9157069894481686,0.8359825974705994,1.0030343849995254,0.05812265986982245
IREDUHIGHST2_6,0.9021545694044342,0.7211711921973861,1.128557096987505,0.3674125384902962
INCOME_3,0.8946401451737573,0.7979481293279873,1.0030488949583518,0.056417322216066955
IRMARIT_4.0,0.8804084369910682,0.8374743372985612,0.9255436034319033,5.93701349848377e-07
IREDUHIGHST2_3,0.8669426628340547,0.6580463892463002,1.1421528830249215,0.31007892346138255
IREDUHIGHST2_8,0.7926967017302614,0.6589683312002942,0.9535633674375195,0.013725759906501803
IREDUHIGHST2_7,0.7845389143006051,0.639843337189243,0.9619562669133938,0.019656428842593977
IRWRKSTAT18_Missing,0.7117875780274963,0.62039121665858,0.8166484995758235,1.2433224765029506e-06
IREDUHIGHST2_2,0.7071952299252711,0.5483690769146798,0.9120227858998528,0.0075948826255368045
IREDUHIGHST2_4,0.6865014726255597,0.5425455888099526,0.8686537714753173,0.0017321512448654382
IRMARIT_Missing,0.6592172714403294,0.5278276381939555,0.8233131035960396,0.00023856438625334452
POVERTY3_Missing,0.10803376675545219,0.000464555934834955,25.12355108221352,0.42347303011208237
const,0.10470400428557011,0.08410183794922678,0.13035301939597474,1.304910551921441e-90
