,OR (95% CI),p-value
IRINSUR4_1.0,"2.21 (2.03, 2.41)",2.8628236878539174e-72
IRSEX_2,"1.40 (1.35, 1.46)",8.203663787937058e-65
IRMARIT_3.0,"1.34 (1.27, 1.42)",1.0958971489100698e-22
ILLYR_1.0,"1.29 (1.23, 1.36)",6.2807794775677374e-24
IRWRKSTAT18_4.0,"1.26 (1.20, 1.32)",9.062541833187998e-22
NEWRACE2_2,"1.23 (1.16, 1.31)",1.657351633307382e-11
IREDUHIGHST2_11,"1.22 (1.01, 1.47)",0.034978960532701296
NEWRACE2_4,"1.18 (0.87, 1.60)",0.27594801410525416
NEWRACE2_7,"1.18 (1.12, 1.24)",2.270870725385638e-09
IRWRKSTAT18_2.0,"1.14 (1.07, 1.21)",4.481812854878396e-05
IRPYUD5ALC_1,"1.14 (1.07, 1.21)",5.900022102606938e-05
IRMARIT_2.0,"1.13 (1.04, 1.24)",0.003821605747745956
POVERTY3_3.0,"1.12 (1.01, 1.25)",0.029154140688302726
NEWRACE2_3,"1.09 (0.82, 1.44)",0.5640781656179739
IRPYUD5MRJ_1,"1.08 (0.99, 1.17)",0.08114649966528759
INCOME_4,"1.07 (0.96, 1.20)",0.22394799970984958
POVERTY3_2.0,"1.06 (0.97, 1.16)",0.19898839222451792
NEWRACE2_6,"1.04 (0.91, 1.18)",0.5836729505830882
KSSLR6YR,"1.01 (1.01, 1.02)",6.074254199449015e-05
IREDUHIGHST2_10,"1.00 (0.83, 1.21)",0.9738904204381768
NEWRACE2_5,"0.99 (0.91, 1.08)",0.8619770006533658
IREDUHIGHST2_9,"0.98 (0.82, 1.18)",0.8577575244862927
IREDUHIGHST2_5,"0.94 (0.75, 1.18)",0.6029370580320003
IRWRKSTAT18_3.0,"0.92 (0.82, 1.02)",0.10786054086690212
INCOME_2,"0.92 (0.84, 1.00)",0.05812265986982245
IREDUHIGHST2_6,"0.90 (0.72, 1.13)",0.3674125384902962
INCOME_3,"0.89 (0.80, 1.00)",0.056417322216066955
IRMARIT_4.0,"0.88 (0.84, 0.93)",5.93701349848377e-07
IREDUHIGHST2_3,"0.87 (0.66, 1.14)",0.31007892346138255
IREDUHIGHST2_8,"0.79 (0.66, 0.95)",0.013725759906501803
IREDUHIGHST2_7,"0.78 (0.64, 0.96)",0.019656428842593977
IRWRKSTAT18_Missing,"0.71 (0.62, 0.82)",1.2433224765029506e-06
IREDUHIGHST2_2,"0.71 (0.55, 0.91)",0.0075948826255368045
IREDUHIGHST2_4,"0.69 (0.54, 0.87)",0.0017321512448654382
IRMARIT_Missing,"0.66 (0.53, 0.82)",0.00023856438625334452
POVERTY3_Missing,"0.11 (0.00, 25.12)",0.42347303011208237
const,"0.10 (0.08, 0.13)",1.304910551921441e-90
